id,company_id,code,name,un_ece_code,un_ece_code_5305,table_code,description,value
pe_cpe_catalog1_1,,01,FACTURA,380,,PE.CPE.CATALOG1,,
pe_cpe_catalog1_2,,03,BOLETA DE VENTA,346,,PE.CPE.CATALOG1,,
pe_cpe_catalog1_3,,07,NOTA DE CREDITO,381,,PE.CPE.CATALOG1,,
pe_cpe_catalog1_4,,08,NOTA DE DEBITO,383,,PE.CPE.CATALOG1,,
pe_cpe_catalog1_5,,09,GUIA DE REMISION REMITENTE,,,PE.CPE.CATALOG1,,
pe_cpe_catalog1_6,,12,TICKET DE MAQUINA REGISTRADORA,,,PE.CPE.CATALOG1,,
pe_cpe_catalog1_7,,13,"DOCUMENTO EMITIDO POR BANCOS, INSTITUCIONES FINANCIERAS, CREDITICIAS Y SEGUROS QUE SE ENCUENTREN BAJO EL CONTROL DE LA SBS",,,PE.CPE.CATALOG1,,
pe_cpe_catalog1_8,,18,DOCUMENTOS EMITIDOS POR LAS AFP,,,PE.CPE.CATALOG1,,
pe_cpe_catalog1_9,,31,GUIA DE REMISION TRANSPORTISTA,,,PE.CPE.CATALOG1,,
pe_cpe_catalog1_10,,56,COMPROBANTE DE PAGO SEAE,,,PE.CPE.CATALOG1,,
pe_cpe_catalog1_11,,71,GUIA DE REMISION REMITENTE COMPLEMENTARIA,,,PE.CPE.CATALOG1,,
pe_cpe_catalog1_12,,72,GUIA DE REMISION TRANSPORTISTA COMPLEMENTARIA,,,PE.CPE.CATALOG1,,
pe_cpe_catalog1_13,,20,COMPROBANTE DE RETENCION,,,PE.CPE.CATALOG1,,
pe_cpe_catalog1_14,,40,COMPROBANTE DE PERCEPCION,,,PE.CPE.CATALOG1,,
pe_cpe_catalog1_15,,41,COMPROBANTE DE PERCEPCION – VENTA INTERNA (FISICO – FORMATO IMPRESO),,,PE.CPE.CATALOG1,,
pe_doc_type_01,,0,OTROS TIPOS DE DOCUMENTOS,,,PE.DOC.TYPE,,
pe_doc_type_02,,1,DOCUMENTO NACIONAL DE IDENTIDAD (DNI),,,PE.DOC.TYPE,,
pe_doc_type_03,,4,CARNET DE EXTRANJERIA,,,PE.DOC.TYPE,,
pe_doc_type_04,,6,REGISTRO ÚNICO DE CONTRIBUYENTES,,,PE.DOC.TYPE,,
pe_doc_type_05,,7,PASAPORTE,,,PE.DOC.TYPE,,
pe_doc_type_06,,A,CÉDULA DIPLOMÁTICA DE IDENTIDAD,,,PE.DOC.TYPE,,
currency_code_1,,AED,UAE Dirham,,,PE.CURRENCY.CODE,Emiratos Árabes Unidos,
currency_code_2,,AFN,Afghani,,,PE.CURRENCY.CODE,Afganistán,
currency_code_3,,ALL,Lek,,,PE.CURRENCY.CODE,Albania,
currency_code_4,,AMD,Armenian Dram,,,PE.CURRENCY.CODE,Armenia,
currency_code_5,,ANG,Netherlands Antillian Guilder,,,PE.CURRENCY.CODE,Antillas Holandesas,
currency_code_6,,AOA,Kwanza,,,PE.CURRENCY.CODE,Angola,
currency_code_7,,ARS,Argentine Peso,,,PE.CURRENCY.CODE,Argentina,
currency_code_8,,AUD,Australian Dollar,,,PE.CURRENCY.CODE,Australia,
currency_code_9,,AWG,Aruban Guilder,,,PE.CURRENCY.CODE,Aruba,
currency_code_10,,AZN,Azerbaijanian Manat,,,PE.CURRENCY.CODE,Azerbaiyán,
currency_code_11,,BAM,Convertible Marks,,,PE.CURRENCY.CODE,Bosnia y Herzegovina,
currency_code_12,,BBD,Barbados Dollar,,,PE.CURRENCY.CODE,Barbados,
currency_code_13,,BDT,Taka,,,PE.CURRENCY.CODE,Bangladesh,
currency_code_14,,BGN,Bulgarian Lev,,,PE.CURRENCY.CODE,Bulgaria,
currency_code_15,,BHD,Bahraini Dinar,,,PE.CURRENCY.CODE,Bahréin,
currency_code_16,,BIF,Burundi Franc,,,PE.CURRENCY.CODE,Burundi,
currency_code_17,,BMD,Bermudian Dollar (customarily known as Bermuda Dollar),,,PE.CURRENCY.CODE,Bermudas,
currency_code_18,,BND,Brunei Dollar,,,PE.CURRENCY.CODE,Brunéi Darussalam,
currency_code_19,,BOB,Boliviano,,,PE.CURRENCY.CODE,Bolivia,
currency_code_20,,BOV,Mvdol,,,PE.CURRENCY.CODE,Bolivia,
currency_code_21,,BRL,Brazilian Real,,,PE.CURRENCY.CODE,Brasil,
currency_code_22,,BSD,Bahamian Dollar,,,PE.CURRENCY.CODE,Bahamas,
currency_code_23,,BTN,Ngultrum,,,PE.CURRENCY.CODE,Bután,
currency_code_24,,BWP,Pula,,,PE.CURRENCY.CODE,Botsuana,
currency_code_25,,BYR,Belarussian Ruble,,,PE.CURRENCY.CODE,Bielorrusia,
currency_code_26,,BZD,Belize Dollar,,,PE.CURRENCY.CODE,Belice,
currency_code_27,,CAD,Canadian Dollar,,,PE.CURRENCY.CODE,Canadá,
currency_code_28,,CDF,Congolese Franc,,,PE.CURRENCY.CODE,República Democrática del Congo,
currency_code_29,,CHE,WIR Euro,,,PE.CURRENCY.CODE,Suiza,
currency_code_30,,CHF,Swiss Franc,,,PE.CURRENCY.CODE,Suiza,
currency_code_31,,CHW,WIR Franc,,,PE.CURRENCY.CODE,Suiza,
currency_code_32,,CLF,Unidades de fomento,,,PE.CURRENCY.CODE,Chile,
currency_code_33,,CLP,Chilean Peso,,,PE.CURRENCY.CODE,Chile,
currency_code_34,,CNY,Yuan Renminbi,,,PE.CURRENCY.CODE,China (República Popular),
currency_code_35,,COP,Colombian Peso,,,PE.CURRENCY.CODE,Colombia,
currency_code_36,,COU,Unidad de Valor Real,,,PE.CURRENCY.CODE,Colombia,
currency_code_37,,CRC,Costa Rican Colon,,,PE.CURRENCY.CODE,Costa Rica,
currency_code_38,,CUC,Peso Convertible,,,PE.CURRENCY.CODE,Cuba,
currency_code_39,,CUP,Cuban Peso,,,PE.CURRENCY.CODE,Cuba,
currency_code_40,,CVE,Cape Verde Escudo,,,PE.CURRENCY.CODE,Cabo Verde,
currency_code_41,,CZK,Czech Koruna,,,PE.CURRENCY.CODE,República Checa,
currency_code_42,,DJF,Djibouti Franc,,,PE.CURRENCY.CODE,Yibuti,
currency_code_43,,DKK,Danish Krone,,,PE.CURRENCY.CODE,Dinamarca,
currency_code_44,,DOP,Dominican Peso,,,PE.CURRENCY.CODE,República Dominicana,
currency_code_45,,DZD,Algerian Dinar,,,PE.CURRENCY.CODE,Argelia,
currency_code_46,,EEK,Kroon,,,PE.CURRENCY.CODE,Estonia,
currency_code_47,,EGP,Egyptian Pound,,,PE.CURRENCY.CODE,Egipto,
currency_code_48,,ERN,Nakfa,,,PE.CURRENCY.CODE,Eritrea,
currency_code_49,,ETB,Ethiopian Birr,,,PE.CURRENCY.CODE,Etiopía,
currency_code_50,,EUR,Euro,,,PE.CURRENCY.CODE,Unión Europea,
currency_code_51,,FJD,Fiji Dollar,,,PE.CURRENCY.CODE,Fiyi,
currency_code_52,,FKP,Falkland Islands Pound,,,PE.CURRENCY.CODE,Islas Malvinas,
currency_code_53,,GBP,Pound Sterling,,,PE.CURRENCY.CODE,Reino Unido,
currency_code_54,,GEL,Lari,,,PE.CURRENCY.CODE,Georgia,
currency_code_55,,GHS,Cedi,,,PE.CURRENCY.CODE,Ghana,
currency_code_56,,GIP,Gibraltar Pound,,,PE.CURRENCY.CODE,Gibraltar,
currency_code_57,,GMD,Dalasi,,,PE.CURRENCY.CODE,Gambia,
currency_code_58,,GNF,Guinea Franc,,,PE.CURRENCY.CODE,Guinea,
currency_code_59,,GTQ,Quetzal,,,PE.CURRENCY.CODE,Guatemala,
currency_code_60,,GYD,Guyana Dollar,,,PE.CURRENCY.CODE,Guyana,
currency_code_61,,HKD,Hong Kong Dollar,,,PE.CURRENCY.CODE,Hong Kong,
currency_code_62,,HNL,Lempira,,,PE.CURRENCY.CODE,Honduras,
currency_code_63,,HRK,Croatian Kuna,,,PE.CURRENCY.CODE,Croacia,
currency_code_64,,HTG,Gourde,,,PE.CURRENCY.CODE,Haití,
currency_code_65,,HUF,Forint,,,PE.CURRENCY.CODE,Hungría,
currency_code_66,,IDR,Rupiah,,,PE.CURRENCY.CODE,Indonesia,
currency_code_67,,ILS,New Israeli Sheqel,,,PE.CURRENCY.CODE,Israel,
currency_code_68,,INR,Indian Rupee,,,PE.CURRENCY.CODE,India,
currency_code_69,,IQD,Iraqi Dinar,,,PE.CURRENCY.CODE,Iraq,
currency_code_70,,IRR,Iranian Rial,,,PE.CURRENCY.CODE,Irán,
currency_code_71,,ISK,Iceland Krona,,,PE.CURRENCY.CODE,Islandia,
currency_code_72,,JMD,Jamaican Dollar,,,PE.CURRENCY.CODE,Jamaica,
currency_code_73,,JOD,Jordanian Dinar,,,PE.CURRENCY.CODE,Jordania,
currency_code_74,,JPY,Yen,,,PE.CURRENCY.CODE,Japón,
currency_code_75,,KES,Kenyan Shilling,,,PE.CURRENCY.CODE,Kenia,
currency_code_76,,KGS,Som,,,PE.CURRENCY.CODE,Kirguistán,
currency_code_77,,KHR,Riel,,,PE.CURRENCY.CODE,Camboya,
currency_code_78,,KMF,Comoro Franc,,,PE.CURRENCY.CODE,Comoras,
currency_code_79,,KPW,North Korean Won,,,PE.CURRENCY.CODE,Corea (del Norte),
currency_code_80,,KRW,Won,,,PE.CURRENCY.CODE,Corea (del Sur),
currency_code_81,,KWD,Kuwaiti Dinar,,,PE.CURRENCY.CODE,Kuwait,
currency_code_82,,KYD,Cayman Islands Dollar,,,PE.CURRENCY.CODE,Islas Caimán,
currency_code_83,,KZT,Tenge,,,PE.CURRENCY.CODE,Kazajistán,
currency_code_84,,LAK,Kip,,,PE.CURRENCY.CODE,Laos,
currency_code_85,,LBP,Lebanese Pound,,,PE.CURRENCY.CODE,Líbano,
currency_code_86,,LKR,Sri Lanka Rupee,,,PE.CURRENCY.CODE,Sri Lanka,
